Skew,Kurtosis,b,c,d,_RHS_
0.1,5.2,0.690939,0.010071,0.094025,1.82E-15
0.1,5.3,0.687316,0.010023,0.095036,2.58E-22
0.1,5.4,0.68373,0.009977,0.096035,4.44E-25
0.1,5.5,0.68018,0.009931,0.097023,2.23E-20
0.1,5.6,0.676665,0.009886,0.097998,7.77E-24
0.1,5.7,0.673184,0.009842,0.098963,1.38E-15
0.1,5.8,0.669737,0.009798,0.099917,3.45E-15
0.1,5.9,0.666321,0.009756,0.10086,4.66E-21
0.1,6,0.662937,0.009714,0.101794,2.98E-21
0.1,6.1,0.659584,0.009673,0.102717,1.87E-21
0.1,6.2,0.656261,0.009633,0.10363,1.15E-21
0.1,6.3,0.652967,0.009593,0.104533,1.86E-21
0.1,6.4,0.649702,0.009555,0.105428,3.97E-21
0.1,6.5,-0.64646,0.009516,-0.10631,3.75E-23
0.1,6.6,-0.64325,0.009479,-0.10719,1.86E-25
0.1,6.7,-0.64007,0.009442,-0.10806,7.15E-28
0.1,6.8,-1.57164,0.021759,0.287203,3.87E-27
0.1,6.9,0.63378,0.009369,0.109768,1.13E-19
0.1,7,0.630673,0.009334,0.110611,1.77E-19
0.1,7.1,0.62759,0.0093,0.111446,2.77E-19
0.1,7.2,0.62453,0.009265,0.112274,4.31E-19
0.1,7.3,0.621494,0.009232,0.113094,6.68E-19
0.1,7.4,0.618481,0.009199,0.113906,1.03E-18
0.1,7.5,0.61549,0.009166,0.114711,1.77E-17
0.1,7.6,0.612521,0.009134,0.11551,6.81E-18
0.1,7.7,0.609574,0.009102,0.116301,1.36E-27
0.1,7.8,0.606647,0.009071,0.117086,4.67E-21
0.1,7.9,0.603741,0.00904,0.117864,4.06E-26
0.1,8,0.600856,0.00901,0.118635,4.14E-16
0.1,8.1,0.59799,0.00898,0.1194,6.03E-16
0.1,8.2,0.595143,0.00895,0.120159,1.08E-15
0.1,8.3,-1.57583,0.020222,0.295352,4.34E-26
0.1,8.4,-1.57605,0.02013,0.295856,1.46E-21
0.1,8.5,-1.57626,0.020038,0.296356,5.84E-21
0.1,8.6,-1.57647,0.019948,0.296852,7.80E-22
0.1,8.7,0.581189,0.008808,0.123864,2.74E-28
0.1,8.8,0.578451,0.008781,0.124588,1.77E-28
0.1,8.9,0.575731,0.008754,0.125306,1.22E-28
0.1,9,0.573027,0.008728,0.126019,1.05E-28
0.1,9.1,0.57034,0.008701,0.126727,5.85E-30
0.1,9.2,0.567669,0.008675,0.12743,9.93E-30
0.1,9.3,0.565014,0.00865,0.128127,1.44E-14
0.1,9.4,0.562374,0.008625,0.12882,1.56E-27
0.1,9.5,0.55975,0.0086,0.129507,6.51E-27
0.1,9.6,0.557141,0.008575,0.13019,2.69E-26
0.1,9.7,0.554547,0.008551,0.130868,9.57E-26
0.1,9.8,0.551967,0.008527,0.131542,3.06E-25
0.1,9.9,0.549402,0.008503,0.13221,1.31E-17
0.1,10,0.546851,0.008479,0.132875,1.16E-18
0.1,10.1,0.544313,0.008456,0.133535,4.43E-19
0.1,10.2,0.54179,0.008433,0.13419,6.65E-25
0.1,10.3,0.53928,0.00841,0.134841,1.02E-17
0.1,10.4,0.536783,0.008388,0.135488,5.39E-20
0.1,10.5,0.534299,0.008365,0.136131,1.81E-20
0.1,10.6,0.531829,0.008344,0.13677,4.46E-21
0.1,10.7,0.52937,0.008322,0.137405,1.68E-21
0.1,10.8,0.526925,0.0083,0.138035,3.71E-21
0.1,10.9,0.524491,0.008279,0.138662,5.68E-21
0.1,11,0.52207,0.008258,0.139285,1.03E-27
0.1,11.1,0.519661,0.008237,0.139905,1.70E-27
0.1,11.2,-1.57996,0.017919,0.308465,1.67E-23
0.1,11.3,-1.58003,0.017851,0.308869,9.77E-23
0.1,11.4,-1.5801,0.017784,0.30927,5.81E-17
